myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,instruction_loop.thisRepN,instruction_loop.thisTrialN,instruction_loop.thisN,instruction_loop.thisIndex,instruction_loop.ran,slides,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,character,left_categ,centleft_categ,centright_categ,right_categ,trial_cond,corr_ans,corr_ans_num,type,img,rep_resp.keys,rep_resp.rt,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,repeat_practice.ran,task_response.keys,task_response.corr,task_response.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,condition
[],[],10,10,space,91.5901,space,14.1645,0,0,0,0,1,stimuli/slide1.png,20,,2022-01-13_20h42.23.874,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,15.2252,0,1,1,1,1,stimuli/slide2.png,20,,2022-01-13_20h42.23.874,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,14.462,0,2,2,2,1,stimuli/slide3.png,20,,2022-01-13_20h42.23.874,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,33.6105,0,3,3,3,1,stimuli/slide4.png,20,,2022-01-13_20h42.23.874,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1.5536,0,4,4,4,1,stimuli/slide5.png,20,,2022-01-13_20h42.23.874,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1.2212,0,5,5,5,1,stimuli/slide6.png,20,,2022-01-13_20h42.23.874,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,[],,,,,,,,,,,,,20,,2022-01-13_20h42.23.874,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,space,1.5132,3,0,1.21,0,0,0,0,0,1,stimuli/m_red.jpg,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,1,Food,1,1,stimuli/objects/chocolatecroissant.jpg,,,,,,,,,,,,,,,,
0,[0],,,,,,,,,,,,,20,,2022-01-13_20h42.23.874,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,0,1.2089,0,0,1,1,1,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,0,Vehicle,4,0,stimuli/objects/tricycle.jpg,,,,,,,,,,,,,,,,
0,[0],,,,,,,,,,,,,20,,2022-01-13_20h42.23.874,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,0,1.5899,0,0,2,2,2,1,stimuli/m_blue.jpg,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,0,Food,4,0,stimuli/objects/cracker02.jpg,,,,,,,,,,,,,,,,
1,[0],,,,,,,,,,,,,20,,2022-01-13_20h42.23.874,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,4,1,1.585,1,0,3,3,3,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,1,Food,4,1,stimuli/objects/hotdog.jpg,,,,,,,,,,,,,,,,
