myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,instruction_loop.thisRepN,instruction_loop.thisTrialN,instruction_loop.thisN,instruction_loop.thisIndex,instruction_loop.ran,slides,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,character,left_categ,centleft_categ,centright_categ,right_categ,trial_cond,corr_ans,corr_ans_num,type,img,rep_resp.keys,rep_resp.rt,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,repeat_practice.ran,task_response.keys,task_response.corr,task_response.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,condition
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,4,0,3.276,1,0,19,19,19,1,stimuli/m_red.jpg,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Food.png,0,Vehicle,1,0,stimuli/objects/scissorlift.jpg,,,,,,,,,,,,,,,,
1,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,1,1,1.009,1,0,20,20,20,1,stimuli/m_blue.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,stimuli/Vehicle.png,stimuli/Clothing.png,1,Gamestoy & entertainment,1,1,stimuli/objects/toydinosaur.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,0,0.997,0,0,21,21,21,1,stimuli/m_blue.jpg,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,1,Gamestoy & entertainment,4,1,stimuli/objects/sandbagthrowgame.jpg,,,,,,,,,,,,,,,,
1,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,1,1.993,0,0,22,22,22,1,stimuli/m_blue.jpg,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Vehicle.png,0,Clothing,3,0,stimuli/objects/hikingshoe01.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,0,1.027,0,0,23,23,23,1,stimuli/m_blue.jpg,stimuli/Food.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,Gamestoy & entertainment,4,1,stimuli/objects/beachpaddle01a.jpg,,,,,,,,,,,,,,,,
1,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,1,1,3.092,1,0,24,24,24,1,stimuli/m_red.jpg,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Vehicle.png,1,Food,1,1,stimuli/objects/apricot.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,0,1.386,1,0,25,25,25,1,stimuli/m_blue.jpg,stimuli/Food.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,0,Food,1,0,stimuli/objects/croissant01.jpg,,,,,,,,,,,,,,,,
1,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,1,0.803,1,0,26,26,26,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,Food,2,1,stimuli/objects/icecreamcone01a.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,0,2.291,1,0,27,27,27,1,stimuli/m_blue.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,0,Clothing,1,0,stimuli/objects/tie02.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,4,0,1.608,0,0,28,28,28,1,stimuli/m_blue.jpg,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Food.png,1,Gamestoy & entertainment,2,1,stimuli/objects/marble.jpg,,,,,,,,,,,,,,,,
1,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,1,1.512,1,0,29,29,29,1,stimuli/m_red.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Food.png,stimuli/Clothing.png,1,Food,3,1,stimuli/objects/baguette01.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,4,0,1.121,0,0,30,30,30,1,stimuli/m_blue.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Food.png,stimuli/Clothing.png,1,Gamestoy & entertainment,1,1,stimuli/objects/pusharoundtoy.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,1,0,1.176,0,0,31,31,31,1,stimuli/m_blue.jpg,stimuli/Food.png,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,1,Gamestoy & entertainment,4,1,stimuli/objects/puzzlepiece.jpg,,,,,,,,,,,,,,,,
1,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,1,1,0.825,1,0,32,32,32,1,stimuli/m_blue.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Food.png,1,Gamestoy & entertainment,1,1,stimuli/objects/interlockingbuildingblock03b.jpg,,,,,,,,,,,,,,,,
1,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,4,1,0.675,1,0,33,33,33,1,stimuli/m_blue.jpg,stimuli/Vehicle.png,stimuli/Food.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,1,Gamestoy & entertainment,4,1,stimuli/objects/airhockeytable.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,0,,0,0,34,34,34,1,stimuli/m_red.jpg,stimuli/Vehicle.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,1,Food,2,1,stimuli/objects/tortilla.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,0,0.895,0,0,35,35,35,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,0,Gamestoy & entertainment,3,0,stimuli/objects/chessknight03a.jpg,,,,,,,,,,,,,,,,
1,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,1,0.609,1,0,36,36,36,1,stimuli/m_blue.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,1,Gamestoy & entertainment,3,1,stimuli/objects/toyanimal05.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,1,0,0.908,0,0,37,37,37,1,stimuli/m_blue.jpg,stimuli/Vehicle.png,stimuli/Food.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,1,Gamestoy & entertainment,4,1,stimuli/objects/puppettheatre.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,0,1.497,0,0,38,38,38,1,stimuli/m_blue.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Food.png,0,Food,4,0,stimuli/objects/salsa.jpg,,,,,,,,,,,,,,,,
1,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,4,1,0.511,1,0,39,39,39,1,stimuli/m_red.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Food.png,1,Food,4,1,stimuli/objects/walnut01c.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,1,0,0.66,0,0,40,40,40,1,stimuli/m_red.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Food.png,1,Food,4,1,stimuli/objects/potato02b.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,0,1.661,0,0,41,41,41,1,stimuli/m_blue.jpg,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,0,Clothing,1,0,stimuli/objects/sheriffhat.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,0,1.131,0,0,42,42,42,1,stimuli/m_red.jpg,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Food.png,1,Food,4,1,stimuli/objects/spaghetti01.jpg,,,,,,,,,,,,,,,,
1,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,4,1,0.382,1,0,43,43,43,1,stimuli/m_red.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Food.png,1,Food,4,1,stimuli/objects/zucchini01.jpg,,,,,,,,,,,,,,,,
1,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,1,0.561,1,0,44,44,44,1,stimuli/m_red.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Food.png,stimuli/Clothing.png,1,Food,3,1,stimuli/objects/donut.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,1,0,0.692,0,0,45,45,45,1,stimuli/m_blue.jpg,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,stimuli/Vehicle.png,1,Gamestoy & entertainment,2,1,stimuli/objects/bridgestick.jpg,,,,,,,,,,,,,,,,
1,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,1,1,1.144,1,0,46,46,46,1,stimuli/m_red.jpg,stimuli/Food.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,Food,1,1,stimuli/objects/cookie01.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,0,0.602,1,0,47,47,47,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,0,Gamestoy & entertainment,4,0,stimuli/objects/rubikcube.jpg,,,,,,,,,,,,,,,,
1,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,1,0.818,1,0,48,48,48,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,1,Food,3,1,stimuli/objects/grape01.jpg,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1]",,,,,,,,,,,,,22,990214,2021-12-20_15h07.13.414,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,0,1.483,1,0,49,49,49,1,stimuli/m_blue.jpg,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Food.png,0,Vehicle,1,0,stimuli/objects/schoolbus.jpg,,,,,,,,,,,,,,,,
