myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,instruction_loop.thisRepN,instruction_loop.thisTrialN,instruction_loop.thisN,instruction_loop.thisIndex,instruction_loop.ran,slides,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,character,left_categ,centleft_categ,centright_categ,right_categ,trial_cond,corr_ans,corr_ans_num,type,img,rep_resp.keys,rep_resp.rt,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,repeat_practice.ran,task_response.keys,task_response.corr,task_response.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,condition
[],[],10,10,space,11.3845,space,6.9912,0,0,0,0,1,stimuli/slide1.png,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,9.3075,0,1,1,1,1,stimuli/slide2.png,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,20.4929,0,2,2,2,1,stimuli/slide3.png,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,43.4897,0,3,3,3,1,stimuli/slide4.png,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,69.0277,0,4,4,4,1,stimuli/slide5.png,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,6.0089,0,5,5,5,1,stimuli/slide6.png,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,[],,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,space,18.777,1,1,1.1913,1,0,0,0,0,1,stimuli/m_red.jpg,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,1,Food,1,1,stimuli/objects/chocolatecroissant.jpg,,,,,,,,,,,,,,,,
0,[1],,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,0,0.8119,1,0,1,1,1,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,0,Vehicle,4,0,stimuli/objects/tricycle.jpg,,,,,,,,,,,,,,,,
0,[1],,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,0,1.0304,1,0,2,2,2,1,stimuli/m_blue.jpg,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,0,Food,4,0,stimuli/objects/cracker02.jpg,,,,,,,,,,,,,,,,
1,[1],,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,4,1,2.0258,1,0,3,3,3,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,1,Food,4,1,stimuli/objects/hotdog.jpg,,,,,,,,,,,,,,,,
1,"[1,1]",,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,1,1.0427,1,0,4,4,4,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,stimuli/Vehicle.png,1,Food,3,1,stimuli/objects/kiwi03.jpg,,,,,,,,,,,,,,,,
1,"[1,1,1]",,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,3,1,0.7107,1,0,5,5,5,1,stimuli/m_red.jpg,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,stimuli/Clothing.png,1,Food,3,1,stimuli/objects/greenolive.jpg,,,,,,,,,,,,,,,,
0,"[1,1,1,1]",,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,0,2.9018,0,0,6,6,6,1,stimuli/m_blue.jpg,stimuli/Food.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,Gamestoy & entertainment,4,1,stimuli/objects/paperairplane.jpg,,,,,,,,,,,,,,,,
1,"[1,1,1,1,0]",,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,1,2.4424,1,0,7,7,7,1,stimuli/m_blue.jpg,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,stimuli/Clothing.png,1,Gamestoy & entertainment,2,1,stimuli/objects/toyanimal02.jpg,,,,,,,,,,,,,,,,
1,"[1,1,1,1,0,1]",,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,4,1,0.8736,1,0,8,8,8,1,stimuli/m_red.jpg,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,1,Food,4,1,stimuli/objects/casabamelon.jpg,,,,,,,,,,,,,,,,
1,"[1,1,1,1,0,1,1]",,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,1,1,1.9071,1,0,9,9,9,1,stimuli/m_blue.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Food.png,1,Gamestoy & entertainment,1,1,stimuli/objects/paddleball.jpg,,,,,,,,,,,,,,,,
1,"[1,1,1,1,0,1,1,1]",,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,1,1,1.0526,1,0,10,10,10,1,stimuli/m_blue.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Food.png,stimuli/Vehicle.png,1,Gamestoy & entertainment,1,1,stimuli/objects/rockinghorse.jpg,,,,,,,,,,,,,,,,
1,"[1,1,1,1,0,1,1,1,1]",,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,2,1,1.2854,1,0,11,11,11,1,stimuli/m_red.jpg,stimuli/Vehicle.png,stimuli/Food.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,1,Food,2,1,stimuli/objects/arugula.jpg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,n,132.216,0,0,0,0,1,,,,,,,,,
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,,Electronic device & accessory,1,0,stimuli/objects/electricoutlet.jpg,,,,,,,,3,0,1.1807,0,0,0,0,1,1
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,,Kitchen & utensil,1,1,stimuli/objects/chocolatefonduedish.jpg,,,,,,,,1,1,1.3391,0,1,1,1,1,1
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,,Outdoor activity & sport item,1,0,stimuli/objects/toyhockeystick01.jpg,,,,,,,,2,0,1.1444,0,2,2,2,1,0
,,,,,,,,,,,,,,30,570780,2022-01-10_14h42.24.985,MemLear_ses-01_part-01_label-phase1,2020.1.3,Win32,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,,Electronic device & accessory,1,1,stimuli/objects/alarmsystem.jpg,,,,,,,,4,0,1.7348,0,3,3,3,1,0
