myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,instruction_loop.thisRepN,instruction_loop.thisTrialN,instruction_loop.thisN,instruction_loop.thisIndex,instruction_loop.ran,slides,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,character,left_categ,centleft_categ,centright_categ,right_categ,trial_cond,corr_ans,corr_ans_num,type,img,rep_resp.keys,rep_resp.rt,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,repeat_practice.ran,task_response.keys,task_response.corr,task_response.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,condition
[],[],10,10,space,46.5138,space,0.0334,0,0,0,0,1,stimuli/slide1.png,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,25.0473,0,1,1,1,1,stimuli/slide2.png,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,47.9215,0,2,2,2,1,stimuli/slide3.png,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,18.8024,0,3,3,3,1,stimuli/slide4.png,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,5.2525,0,4,4,4,1,stimuli/slide5.png,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,5.5184,0,5,5,5,1,stimuli/slide6.png,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,[],,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,space,15.3138,1,1,1.8135,1,0,0,0,0,1,stimuli/m_red.jpg,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,1,Food,1,1,stimuli/objects/chocolatecroissant.jpg,,,,,,,,,,,,,,,,
0,[1],,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,2,0,1.3498,1,0,1,1,1,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,0,Vehicle,4,0,stimuli/objects/tricycle.jpg,,,,,,,,,,,,,,,,
0,[1],,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,3,0,1.4658,1,0,2,2,2,1,stimuli/m_blue.jpg,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,0,Food,4,0,stimuli/objects/cracker02.jpg,,,,,,,,,,,,,,,,
1,[1],,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,4,1,1.666,1,0,3,3,3,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,1,Food,4,1,stimuli/objects/hotdog.jpg,,,,,,,,,,,,,,,,
1,"[1,1]",,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,3,1,0.8121,1,0,4,4,4,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,stimuli/Vehicle.png,1,Food,3,1,stimuli/objects/kiwi03.jpg,,,,,,,,,,,,,,,,
1,"[1,1,1]",,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,3,1,0.9556,1,0,5,5,5,1,stimuli/m_red.jpg,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,stimuli/Clothing.png,1,Food,3,1,stimuli/objects/greenolive.jpg,,,,,,,,,,,,,,,,
0,"[1,1,1,1]",,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,2,0,1.0889,0,0,6,6,6,1,stimuli/m_blue.jpg,stimuli/Food.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,Gamestoy & entertainment,4,1,stimuli/objects/paperairplane.jpg,,,,,,,,,,,,,,,,
1,"[1,1,1,1,0]",,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,2,1,3.8461,1,0,7,7,7,1,stimuli/m_blue.jpg,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,stimuli/Clothing.png,1,Gamestoy & entertainment,2,1,stimuli/objects/toyanimal02.jpg,,,,,,,,,,,,,,,,
1,"[1,1,1,1,0,1]",,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,4,1,1.5144,1,0,8,8,8,1,stimuli/m_red.jpg,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,1,Food,4,1,stimuli/objects/casabamelon.jpg,,,,,,,,,,,,,,,,
1,"[1,1,1,1,0,1,1]",,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,1,1,1.0095,1,0,9,9,9,1,stimuli/m_blue.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Food.png,1,Gamestoy & entertainment,1,1,stimuli/objects/paddleball.jpg,,,,,,,,,,,,,,,,
1,"[1,1,1,1,0,1,1,1]",,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,1,1,0.872,1,0,10,10,10,1,stimuli/m_blue.jpg,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,stimuli/Food.png,stimuli/Vehicle.png,1,Gamestoy & entertainment,1,1,stimuli/objects/rockinghorse.jpg,,,,,,,,,,,,,,,,
1,"[1,1,1,1,0,1,1,1,1]",,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,2,1,1.8682,1,0,11,11,11,1,stimuli/m_red.jpg,stimuli/Vehicle.png,stimuli/Food.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,1,Food,2,1,stimuli/objects/arugula.jpg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,n,21.58,0,0,0,0,1,,,,,,,,,
,,,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,,Electronic device & accessory,1,0,stimuli/objects/scanner.jpg,,,,,,,,1,1,1.9735,0,0,0,0,1,0
,,,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,,Outdoor activity & sport item,4,1,stimuli/objects/sportbag.jpg,,,,,,,,3,0,1.7144,0,1,1,1,1,0
,,,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,,Outdoor activity & sport item,1,0,stimuli/objects/backpack01a.jpg,,,,,,,,1,1,1.3316,0,2,2,2,1,1
,,,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_black.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,,Outdoor activity & sport item,2,1,stimuli/objects/golfball.jpg,,,,,,,,1,0,1.5899,0,3,3,3,1,0
,,,,,,,,,,,,,,25, 250761,2021-12-23_10h10.45.275,MemLear_ses-01_part-01_label-phase1,2020.1.3,MacIntel,60,,,,,,,,,,,,stimuli/m_orange.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,,Hand labour tool & accessory,1,1,stimuli/objects/lock03a.jpg,,,,,,,,1,1,1.9224,0,4,4,4,1,1
